user_id,latitude,longitude,session_duration,is_anomaly,hour_of_day,day_of_week,ip_first_octet,action_encoded,device_type_encoded
39,48.825745479585656,2.28925789792239,474,0,4,4,10,2,0
29,48.91604005038261,2.350134578470961,544,0,11,0,192,2,1
15,40.72149831645848,-73.96060640263788,593,0,18,0,192,3,0
43,37.774460472184835,-122.39682944006762,1108,0,20,4,10,3,2
8,37.81569258102446,-122.39106220365406,1120,0,16,4,172,2,2
21,55.770099008309415,37.706455641768756,62,1,1,6,203,3,0
39,48.918698529900496,2.347911841538358,645,0,23,6,172,1,0
19,48.81111535249258,2.384131182491882,432,0,0,5,172,3,2
23,37.785693032409455,-122.33395021684055,1044,0,4,6,192,3,1
11,19.481974650285036,-99.0949897805999,111,1,6,2,203,2,1
11,51.5080475768977,-0.17158493708336212,993,0,20,2,192,2,0
24,48.84670185156494,2.3760414047162053,710,0,8,2,192,2,2
36,51.42092099534954,-0.06571430201738279,1518,0,1,0,192,3,1
40,40.81615220008757,-74.10324696451853,1127,0,21,1,10,1,1
24,48.78658922244932,2.363683123211657,551,0,0,4,192,0,2
3,37.74577095421826,-122.40635467830842,776,0,22,2,10,3,0
22,35.67261629817213,139.59910907402553,1169,0,1,2,10,2,2
2,-23.486079682991075,-46.61007416973786,265,1,21,3,198,3,3
24,55.72781290126359,37.69255125573304,152,1,12,3,203,3,1
44,-33.89422029774469,151.14720797416473,149,1,10,4,203,3,1
30,40.72197559115439,-73.98834211883887,1618,0,4,6,10,2,1
38,1.3786958446109423,103.85461755633263,214,1,3,6,93,2,1
2,35.702006236428886,139.67407468207244,1029,0,15,1,192,0,2
21,51.47871230998459,-0.1618372137285277,1274,0,7,2,10,3,0
33,37.81201824581296,-122.407227174465,1665,0,10,4,172,3,2
12,35.717212286974316,139.5649361422186,1535,0,7,3,10,2,0
22,35.65116068087912,139.74565094509552,1128,0,22,0,10,0,0
44,48.884226657617376,2.3669775225489573,1292,0,1,5,172,3,1
25,40.74819621834848,-73.8955774737067,1347,0,20,4,10,2,2
49,48.95650247711435,2.27322396213437,871,0,6,4,10,1,1
27,-33.92932505795347,151.12862946722248,85,1,7,1,203,2,0
42,35.63884460555299,139.6530459649326,1231,0,9,2,172,1,2
28,37.787000757203394,-122.49592393715936,521,0,1,4,192,3,2
16,51.41403240868154,-0.16603956934777253,550,0,21,5,192,3,1
15,55.80160856328023,37.67181814558468,138,1,17,1,203,3,1
47,1.4373912429668843,103.81818348745375,260,1,6,6,203,3,3
44,48.898007674519505,2.402694748052483,1318,0,14,4,172,3,1
3,37.75005704836637,-122.40000775592347,772,0,1,5,172,1,1
37,35.70913525628549,139.60484211914573,1586,0,21,5,172,2,0
7,-23.46839519144463,-46.635240614136,78,1,4,0,198,2,3
21,51.51175176140733,-0.1751670689971062,360,0,2,2,192,1,2
9,55.71682869020612,37.5074742699584,60,1,10,3,203,2,0
39,-33.86604220617907,151.33458446048212,37,1,4,4,203,2,1
18,37.72396902759478,-122.27059015359225,439,0,10,1,10,2,2
4,48.92731256313062,2.3285205609511443,1320,0,18,1,10,2,1
25,1.353463235240944,103.81304498460426,23,1,22,2,93,3,0
14,48.941908198669886,2.3780507865058977,666,0,4,2,10,1,1
50,40.771898702431095,-73.98809140773193,1083,0,6,1,10,1,1
9,48.85100137397027,2.3685211682535354,1538,0,9,1,10,2,2
26,51.48705278830639,-0.20041020217354488,1691,0,23,0,10,0,0
2,35.71688442879783,139.57524177758285,969,0,1,0,10,3,0
20,40.699358291160245,-74.02799321438077,612,0,23,5,172,3,2
28,37.80706769655271,-122.34116477075332,920,0,15,0,172,2,0
47,35.73644853236504,139.68392125094473,1573,0,18,2,172,3,1
7,35.644706417718965,139.64112654232017,1576,0,13,6,192,1,2
44,19.41613631464721,-99.15671407233647,59,1,12,4,93,3,0
8,37.75477744456866,-122.44085690175338,456,0,4,0,10,0,1
47,19.408928690364977,-99.08560584909857,276,1,5,6,93,0,3
35,40.660068155556694,-74.04247370511519,1308,0,14,1,172,1,1
14,48.77742966394803,2.4229741401255422,1254,0,10,3,10,0,0
17,35.63637485206712,139.6833387615861,713,0,9,1,192,2,2
36,51.53116594301061,-0.06185806894546145,901,0,21,1,192,2,2
50,40.70229916508125,-74.0533769893643,1655,0,8,6,10,1,1
40,55.67801250120642,37.47806821776089,264,1,12,0,198,0,1
4,48.86466766129394,2.3909736286244456,1304,0,4,5,10,1,0
2,35.69978440525989,139.57381178484135,1333,0,6,1,172,0,2
6,51.55934130725559,-0.16271080141576763,835,0,6,5,172,1,1
42,35.630854825292914,139.61426838823482,1410,0,1,2,192,0,2
4,48.86052044612531,2.277964921424146,1003,0,20,1,172,3,0
29,48.85474820431404,2.3736724122691832,1407,0,2,1,192,1,0
18,37.83026619481218,-122.41060216713893,1419,0,19,6,192,2,0
26,51.440418575090305,-0.12035548861738882,336,0,19,0,172,3,0
44,48.80358708630269,2.2963027421816524,364,0,21,4,172,2,0
